PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived,Scoring,Rank of Scoring,Binary outcomes reversed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,-0.369157507,-0.737281045,-2.211784963,-0.474278822,2.007805702,0.096592088,1,0.624218975,20,0,1,10,10,332,0.018214936,0.029239766,0,,,,,,,,,,,,,,,,,,,,,,,,
420,0.826912817,1.354812621,-1.519614109,-0.474278822,2.007805702,-0.162077929,0,0.618637556,21,1,0,11,10,332,0.02003643,0.029239766,5.326E-05,,,,,,,,,,,,,,,,,,,,,,,,
536,-0.369157507,1.354812621,-1.750337727,-0.474278822,2.007805702,-0.11981882,1,0.599067088,22,0,1,11,11,331,0.02003643,0.032163743,0,,,,,,,,,,,,,,,,,,,,,,,,
418,-0.369157507,1.354812621,-0.904351128,-0.474278822,2.007805702,-0.386453672,1,0.596507303,23,0,1,11,12,330,0.02003643,0.035087719,0,,,,,,,,,,,,,,,,,,,,,,,,
238,-0.369157507,1.354812621,-1.673429854,-0.474278822,2.007805702,-0.11981882,1,0.595392084,24,0,1,11,13,329,0.02003643,0.038011696,0,,,,,,,,,,,,,,,,,,,,,,,,
9,0.826912817,1.354812621,-0.212180275,-0.474278822,2.007805702,-0.424017995,1,0.593361036,25,0,1,11,14,328,0.02003643,0.040935673,0,,,,,,,,,,,,,,,,,,,,,,,,
594,0.826912817,1.354812621,0.018543343,-0.474278822,2.007805702,-0.492101444,0,0.592004668,26,1,0,12,14,328,0.021857923,0.040935673,7.45641E-05,,,,,,,,,,,,,,,,,,,,,,,,
395,0.826912817,1.354812621,-0.442903893,-0.474278822,2.007805702,-0.311997147,1,0.588477781,27,0,1,12,15,327,0.021857923,0.043859649,0,,,,,,,,,,,,,,,,,,,,,,,,
256,0.826912817,1.354812621,-0.05836453,-0.474278822,2.007805702,-0.341260574,1,0.57425851,28,0,1,12,16,326,0.021857923,0.046783626,0,,,,,,,,,,,,,,,,,,,,,,,,
141,0.826912817,1.354812621,0.018543343,-0.474278822,2.007805702,-0.341260574,0,0.570583506,29,1,0,13,16,326,0.023679417,0.046783626,8.52161E-05,,,,,,,,,,,,,,,,,,,,,,,,
248,-0.369157507,1.354812621,-0.442903893,-0.474278822,2.007805702,-0.356268595,1,0.570170648,30,0,1,13,17,325,0.023679417,0.049707602,0,,,,,,,,,,,,,,,,,,,,,,,,
154,0.826912817,-0.737281045,0.826076005,-0.474278822,2.007805702,-0.356268595,0,0.567962017,31,1,0,14,17,325,0.025500911,0.049707602,9.05421E-05,,,,,,,,,,,,,,,,,,,,,,,,
534,0.826912817,1.354812621,0.018543343,-0.474278822,2.007805702,-0.198132998,1,0.550257722,32,0,1,14,18,324,0.025500911,0.052631579,0,,,,,,,,,,,,,,,,,,,,,,,,
94,0.826912817,-0.737281045,-0.289088148,0.432550428,2.007805702,-0.23401903,0,0.534642527,33,1,0,15,18,324,0.027322404,0.052631579,9.58681E-05,,,,,,,,,,,,,,,,,,,,,,,,
59,-0.369157507,1.354812621,-1.904153472,0.432550428,2.007805702,-0.089633742,1,0.532884281,34,0,1,15,19,323,0.027322404,0.055555556,0,,,,,,,,,,,,,,,,,,,,,,,,
137,-1.565227831,1.354812621,-0.827443256,-0.474278822,2.007805702,-0.119148711,1,0.530277686,35,0,1,15,20,322,0.027322404,0.058479532,0,,,,,,,,,,,,,,,,,,,,,,,,
149,-0.369157507,-0.737281045,0.518444514,-0.474278822,2.007805702,-0.124849666,0,0.525203653,36,1,0,16,20,322,0.029143898,0.058479532,0.00010652,,,,,,,,,,,,,,,,,,,,,,,,
255,0.826912817,1.354812621,0.864529941,-0.474278822,2.007805702,-0.241313757,0,0.515964852,37,1,0,17,20,322,0.030965392,0.058479532,0.00010652,,,,,,,,,,,,,,,,,,,,,,,,
784,0.826912817,-0.737281045,0.018543343,0.432550428,2.007805702,-0.176164298,0,0.511726466,38,1,0,18,20,322,0.032786885,0.058479532,0.00010652,,,,,,,,,,,,,,,,,,,,,,,,
507,-0.369157507,1.354812621,0.24926696,-0.474278822,2.007805702,-0.124849666,1,0.504231429,39,0,1,18,21,321,0.032786885,0.061403509,0,,,,,,,,,,,,,,,,,,,,,,,,
44,-0.369157507,1.354812621,-2.057969217,0.432550428,2.007805702,0.188656575,1,0.50071382,40,0,1,18,22,320,0.032786885,0.064327485,0,,,,,,,,,,,,,,,,,,,,,,,,
889,0.826912817,1.354812621,0.018543343,0.432550428,2.007805702,-0.176164298,0,0.477891729,41,1,0,19,22,320,0.034608379,0.064327485,0.000117172,,,,,,,,,,,,,,,,,,,,,,,,
446,-1.565227831,-0.737281045,-1.981061345,-0.474278822,2.007805702,0.999208415,1,0.460417731,42,0,1,19,23,319,0.034608379,0.067251462,0,,,,,,,,,,,,,,,,,,,,,,,,
64,0.826912817,-0.737281045,-1.981061345,2.246208929,2.007805702,-0.086615234,0,0.45606719,43,1,0,20,23,319,0.036429872,0.067251462,0.000122498,,,,,,,,,,,,,,,,,,,,,,,,
148,0.826912817,1.354812621,-1.596521982,1.339379678,2.007805702,0.043683684,0,0.45459965,44,1,0,21,23,319,0.038251366,0.067251462,0.000122498,,,,,,,,,,,,,,,,,,,,,,,,
686,-0.369157507,-0.737281045,-0.36599602,0.432550428,2.007805702,0.188656575,0,0.453698474,45,1,0,22,23,319,0.04007286,0.067251462,0.000122498,,,,,,,,,,,,,,,,,,,,,,,,
540,-1.565227831,1.354812621,-0.596719638,-0.474278822,2.007805702,0.348049883,1,0.452905029,46,0,1,22,24,318,0.04007286,0.070175439,0,,,,,,,,,,,,,,,,,,,,,,,,
451,-0.369157507,-0.737281045,0.479990578,0.432550428,2.007805702,-0.089633742,0,0.452793902,47,1,0,23,24,318,0.041894353,0.070175439,0.000127824,,,,,,,,,,,,,,,,,,,,,,,,
820,0.826912817,-0.737281045,-1.519614109,2.246208929,2.007805702,-0.086615234,0,0.434017167,48,1,0,24,24,318,0.043715847,0.070175439,0.000127824,,,,,,,,,,,,,,,,,,,,,,,,
609,-0.369157507,1.354812621,-0.596719638,0.432550428,2.007805702,0.188656575,1,0.430888749,49,0,1,24,25,317,0.043715847,0.073099415,0,,,,,,,,,,,,,,,,,,,,,,,,
473,-0.369157507,1.354812621,0.24926696,0.432550428,2.007805702,-0.089633742,1,0.429984177,50,0,1,24,26,316,0.043715847,0.076023392,0,,,,,,,,,,,,,,,,,,,,,,,,
643,0.826912817,1.354812621,-2.13487709,2.246208929,2.007805702,-0.086615234,0,0.42958246,51,1,0,25,26,316,0.045537341,0.076023392,0.000138476,,,,,,,,,,,,,,,,,,,,,,,,
804,0.826912817,-0.737281045,-2.256391529,-0.474278822,0.767198989,-0.476672845,1,0.428538892,52,0,1,25,27,315,0.045537341,0.078947368,0,,,,,,,,,,,,,,,,,,,,,,,,
437,0.826912817,1.354812621,-0.673627511,1.339379678,2.007805702,0.043683684,0,0.410499606,53,1,0,26,27,315,0.047358834,0.078947368,0.000143802,,,,,,,,,,,,,,,,,,,,,,,,
635,0.826912817,1.354812621,-1.596521982,2.246208929,2.007805702,-0.086615234,0,0.403857434,54,1,0,27,27,315,0.049180328,0.078947368,0.000143802,,,,,,,,,,,,,,,,,,,,,,,,
752,0.826912817,-0.737281045,-1.8272456,-0.474278822,0.767198989,-0.397018449,1,0.396720519,55,0,1,27,28,314,0.049180328,0.081871345,0,,,,,,,,,,,,,,,,,,,,,,,,
206,0.826912817,1.354812621,-2.13487709,-0.474278822,0.767198989,-0.437516762,0,0.383337029,56,1,0,28,28,314,0.051001821,0.081871345,0.000149128,,,,,,,,,,,,,,,,,,,,,,,,
586,-1.565227831,1.354812621,-0.904351128,-0.474278822,2.007805702,0.954769944,1,0.381443723,57,0,1,28,29,313,0.051001821,0.084795322,0,,,,,,,,,,,,,,,,,,,,,,,,
262,0.826912817,-0.737281045,-2.057969217,3.153038179,2.007805702,-0.016434929,1,0.380529591,58,0,1,28,30,312,0.051001821,0.087719298,0,,,,,,,,,,,,,,,,,,,,,,,,
480,0.826912817,1.354812621,-2.13487709,-0.474278822,0.767198989,-0.400791584,1,0.378121626,59,0,1,28,31,311,0.051001821,0.090643275,0,,,,,,,,,,,,,,,,,,,,,,,,
851,0.826912817,-0.737281045,-1.981061345,3.153038179,2.007805702,-0.01869881,0,0.377176084,60,1,0,29,31,311,0.052823315,0.090643275,0.000165106,,,,,,,,,,,,,,,,,,,,,,,,
692,0.826912817,1.354812621,-1.981061345,-0.474278822,0.767198989,-0.378068258,1,0.367544641,61,0,1,29,32,310,0.052823315,0.093567251,0,,,,,,,,,,,,,,,,,,,,,,,,
69,0.826912817,1.354812621,-0.981259001,3.153038179,2.007805702,-0.488579852,1,0.362294884,62,0,1,29,33,309,0.052823315,0.096491228,0,,,,,,,,,,,,,,,,,,,,,,,,
183,0.826912817,-0.737281045,-1.596521982,3.153038179,2.007805702,-0.016434929,0,0.358479568,63,1,0,30,33,309,0.054644809,0.096491228,0.000175758,,,,,,,,,,,,,,,,,,,,,,,,
616,-0.369157507,1.354812621,-0.442903893,0.432550428,2.007805702,0.659962352,1,0.356607828,64,0,1,30,34,308,0.054644809,0.099415205,0,,,,,,,,,,,,,,,,,,,,,,,,
120,0.826912817,1.354812621,-2.13487709,3.153038179,2.007805702,-0.01869881,0,0.350691355,65,1,0,31,34,308,0.056466302,0.099415205,0.000181084,,,,,,,,,,,,,,,,,,,,,,,,
541,-1.565227831,1.354812621,0.479990578,-0.474278822,2.007805702,0.780702663,1,0.340013239,66,0,1,31,35,307,0.056466302,0.102339181,0,,,,,,,,,,,,,,,,,,,,,,,,
234,0.826912817,1.354812621,-1.904153472,3.153038179,2.007805702,-0.016434929,1,0.339344846,67,0,1,31,36,306,0.056466302,0.105263158,0,,,,,,,,,,,,,,,,,,,,,,,,
870,0.826912817,-0.737281045,-1.981061345,0.432550428,0.767198989,-0.424017995,1,0.338658595,68,0,1,31,37,305,0.056466302,0.108187135,0,,,,,,,,,,,,,,,,,,,,,,,,
814,0.826912817,1.354812621,-1.8272456,3.153038179,2.007805702,-0.01869881,0,0.33599134,69,1,0,32,37,305,0.058287796,0.108187135,0.000197062,,,,,,,,,,,,,,,,,,,,,,,,
551,-1.565227831,-0.737281045,-0.981259001,-0.474278822,2.007805702,1.583289667,1,0.329696337,70,0,1,32,38,304,0.058287796,0.111111111,0,,,,,,,,,,,,,,,,,,,,,,,,
349,0.826912817,-0.737281045,-2.057969217,0.432550428,0.767198989,-0.328095856,1,0.328711537,71,0,1,32,39,303,0.058287796,0.114035088,0,,,,,,,,,,,,,,,,,,,,,,,,
856,0.826912817,1.354812621,-0.904351128,-0.474278822,0.767198989,-0.459904028,1,0.327716222,72,0,1,32,40,302,0.058287796,0.116959064,0,,,,,,,,,,,,,,,,,,,,,,,,
542,0.826912817,1.354812621,-1.596521982,3.153038179,2.007805702,-0.01869881,0,0.324966329,73,1,0,33,40,302,0.06010929,0.116959064,0.00021304,,,,,,,,,,,,,,,,,,,,,,,,
543,0.826912817,1.354812621,-1.442706237,3.153038179,2.007805702,-0.01869881,0,0.317616321,74,1,0,34,40,302,0.061930783,0.116959064,0.00021304,,,,,,,,,,,,,,,,,,,,,,,,
756,-0.369157507,-0.737281045,-2.237164561,0.432550428,0.767198989,-0.356268595,1,0.316680959,75,0,1,34,41,301,0.061930783,0.119883041,0,,,,,,,,,,,,,,,,,,,,,,,,
173,0.826912817,1.354812621,-2.211784963,0.432550428,0.767198989,-0.424017995,1,0.31584887,76,0,1,34,42,300,0.061930783,0.122807018,0,,,,,,,,,,,,,,,,,,,,,,,,
703,0.826912817,1.354812621,-0.904351128,-0.474278822,0.767198989,-0.357190246,0,0.313129668,77,1,0,35,42,300,0.063752277,0.122807018,0.000223692,,,,,,,,,,,,,,,,,,,,,,,,
353,0.826912817,-0.737281045,-1.135074746,0.432550428,0.767198989,-0.502581703,0,0.309390516,78,1,0,36,42,300,0.06557377,0.122807018,0.000223692,,,,,,,,,,,,,,,,,,,,,,,,
490,0.826912817,-0.737281045,-1.596521982,0.432550428,0.767198989,-0.328095856,1,0.306661515,79,0,1,36,43,299,0.06557377,0.125730994,0,,,,,,,,,,,,,,,,,,,,,,,,
832,-0.369157507,-0.737281045,-2.224859301,0.432550428,0.767198989,-0.270744208,1,0.303947499,80,0,1,36,44,298,0.06557377,0.128654971,0,,,,,,,,,,,,,,,,,,,,,,,,
533,0.826912817,-0.737281045,-0.981259001,0.432550428,0.767198989,-0.502581703,0,0.302040509,81,1,0,37,44,298,0.067395264,0.128654971,0.000234344,,,,,,,,,,,,,,,,,,,,,,,,
176,0.826912817,-0.737281045,-0.904351128,0.432550428,0.767198989,-0.490004587,0,0.296579408,82,1,0,38,44,298,0.069216758,0.128654971,0.000234344,,,,,,,,,,,,,,,,,,,,,,,,
408,-0.369157507,-0.737281045,-2.057969217,0.432550428,0.767198989,-0.270744208,1,0.295972741,83,0,1,38,45,297,0.069216758,0.131578947,0,,,,,,,,,,,,,,,,,,,,,,,,
447,-0.369157507,1.354812621,-1.288890491,-0.474278822,0.767198989,-0.255651669,1,0.292490831,84,0,1,38,46,296,0.069216758,0.134502924,0,,,,,,,,,,,,,,,,,,,,,,,,
11,0.826912817,1.354812621,-1.981061345,0.432550428,0.767198989,-0.311997147,1,0.288915592,85,0,1,38,47,295,0.069216758,0.137426901,0,,,,,,,,,,,,,,,,,,,,,,,,
824,0.826912817,1.354812621,-0.212180275,-0.474278822,0.767198989,-0.397018449,1,0.285710704,86,0,1,38,48,294,0.069216758,0.140350877,0,,,,,,,,,,,,,,,,,,,,,,,,
721,-0.369157507,1.354812621,-1.8272456,-0.474278822,0.767198989,0.016014029,1,0.279636162,87,0,1,38,49,293,0.069216758,0.143274854,0,,,,,,,,,,,,,,,,,,,,,,,,
341,-0.369157507,-0.737281045,-2.13487709,0.432550428,0.767198989,-0.124849666,1,0.278929019,88,0,1,38,50,292,0.069216758,0.14619883,0,,,,,,,,,,,,,,,,,,,,,,,,
198,0.826912817,-0.737281045,0.941437814,-0.474278822,0.767198989,-0.478936725,0,0.276053735,89,1,0,39,50,292,0.071038251,0.14619883,0.0002663,,,,,,,,,,,,,,,,,,,,,,,,
194,-0.369157507,-0.737281045,-2.057969217,0.432550428,0.767198989,-0.124849666,1,0.275254015,90,0,1,39,51,291,0.071038251,0.149122807,0,,,,,,,,,,,,,,,,,,,,,,,,
853,0.826912817,1.354812621,-1.596521982,0.432550428,0.767198989,-0.341260574,0,0.274696321,91,1,0,40,51,291,0.072859745,0.149122807,0.000271626,,,,,,,,,,,,,,,,,,,,,,,,
387,0.826912817,-0.737281045,-2.211784963,4.059867429,2.007805702,0.295729082,0,0.274302489,92,1,0,41,51,291,0.074681239,0.149122807,0.000271626,,,,,,,,,,,,,,,,,,,,,,,,
747,0.826912817,-0.737281045,-1.058166874,0.432550428,0.767198989,-0.24055913,0,0.268505253,93,1,0,42,51,291,0.076502732,0.149122807,0.000271626,,,,,,,,,,,,,,,,,,,,,,,,
755,-0.369157507,1.354812621,1.402885049,0.432550428,2.007805702,0.659962352,1,0.268407738,94,0,1,42,52,290,0.076502732,0.152046784,0,,,,,,,,,,,,,,,,,,,,,,,,
623,0.826912817,-0.737281045,-0.750535383,0.432550428,0.767198989,-0.331281387,1,0.266688856,95,0,1,42,53,289,0.076502732,0.15497076,0,,,,,,,,,,,,,,,,,,,,,,,,
652,-0.369157507,1.354812621,-0.904351128,-0.474278822,0.767198989,-0.185219821,1,0.26411367,96,0,1,42,54,288,0.076502732,0.157894737,0,,,,,,,,,,,,,,,,,,,,,,,,
425,0.826912817,-0.737281045,-0.904351128,0.432550428,0.767198989,-0.241313757,0,0.261262412,97,1,0,43,54,288,0.078324226,0.157894737,0.000287604,,,,,,,,,,,,,,,,,,,,,,,,
439,-1.565227831,-0.737281045,2.633411011,0.432550428,4.489019129,4.6443926,0,0.260644848,98,1,0,44,54,288,0.080145719,0.157894737,0.000287604,,,,,,,,,,,,,,,,,,,,,,,,
803,-1.565227831,-0.737281045,-1.442706237,0.432550428,2.007805702,1.766748532,1,0.256446881,99,0,1,44,55,287,0.080145719,0.160818713,0,,,,,,,,,,,,,,,,,,,,,,,,
161,0.826912817,-0.737281045,1.095253559,-0.474278822,0.767198989,-0.324071178,0,0.246711014,100,1,0,45,55,287,0.081967213,0.160818713,0.00029293,,,,,,,,,,,,,,,,,,,,,,,,
751,-0.369157507,1.354812621,-1.981061345,0.432550428,0.767198989,-0.185219821,1,0.24631754,101,0,1,45,56,286,0.081967213,0.16374269,0,,,,,,,,,,,,,,,,,,,,,,,,
531,-0.369157507,1.354812621,-2.13487709,0.432550428,0.767198989,-0.124849666,1,0.245094282,102,0,1,45,57,285,0.081967213,0.166666667,0,,,,,,,,,,,,,,,,,,,,,,,,
481,0.826912817,-0.737281045,-1.596521982,4.059867429,2.007805702,0.295729082,0,0.244902459,103,1,0,46,57,285,0.083788707,0.166666667,0.000303582,,,,,,,,,,,,,,,,,,,,,,,,
60,0.826912817,-0.737281045,-1.442706237,4.059867429,2.007805702,0.295729082,0,0.237552451,104,1,0,47,57,285,0.0856102,0.166666667,0.000303582,,,,,,,,,,,,,,,,,,,,,,,,
849,-0.369157507,-0.737281045,-0.135272403,-0.474278822,0.767198989,0.016014029,0,0.232620817,105,1,0,48,57,285,0.087431694,0.166666667,0.000303582,,,,,,,,,,,,,,,,,,,,,,,,
66,0.826912817,-0.737281045,0.018543343,0.432550428,0.767198989,-0.341260574,1,0.23135598,106,0,1,48,58,284,0.087431694,0.169590643,0,,,,,,,,,,,,,,,,,,,,,,,,
710,0.826912817,-0.737281045,0.018543343,0.432550428,0.767198989,-0.341260574,1,0.23135598,107,0,1,48,59,283,0.087431694,0.17251462,0,,,,,,,,,,,,,,,,,,,,,,,,
881,-0.369157507,1.354812621,-0.36599602,-0.474278822,0.767198989,-0.124849666,1,0.229815378,108,0,1,48,60,282,0.087431694,0.175438596,0,,,,,,,,,,,,,,,,,,,,,,,,
684,0.826912817,-0.737281045,-1.211982619,4.059867429,2.007805702,0.295729082,0,0.22652744,109,1,0,49,60,282,0.089253188,0.175438596,0.00031956,,,,,,,,,,,,,,,,,,,,,,,,
550,-0.369157507,-0.737281045,-1.673429854,0.432550428,0.767198989,0.091476724,1,0.226158128,110,0,1,49,61,281,0.089253188,0.178362573,0,,,,,,,,,,,,,,,,,,,,,,,,
470,0.826912817,1.354812621,-2.231011931,1.339379678,0.767198989,-0.260515491,1,0.224302178,111,0,1,49,62,280,0.089253188,0.18128655,0,,,,,,,,,,,,,,,,,,,,,,,,
645,0.826912817,1.354812621,-2.231011931,1.339379678,0.767198989,-0.260515491,1,0.224302178,112,0,1,49,63,279,0.089253188,0.184210526,0,,,,,,,,,,,,,,,,,,,,,,,,
617,0.826912817,-0.737281045,0.326174833,0.432550428,0.767198989,-0.358280933,0,0.219073054,113,1,0,50,63,279,0.091074681,0.184210526,0.000335538,,,,,,,,,,,,,,,,,,,,,,,,
252,0.826912817,1.354812621,-0.05836453,0.432550428,0.767198989,-0.437516762,0,0.214865747,114,1,0,51,63,279,0.092896175,0.184210526,0.000335538,,,,,,,,,,,,,,,,,,,,,,,,
363,0.826912817,1.354812621,1.172161432,-0.474278822,0.767198989,-0.357190246,0,0.213904568,115,1,0,52,63,279,0.094717668,0.184210526,0.000335538,,,,,,,,,,,,,,,,,,,,,,,,
436,-1.565227831,1.354812621,-1.211982619,0.432550428,2.007805702,1.766748532,1,0.211587133,116,0,1,52,64,278,0.094717668,0.187134503,0,,,,,,,,,,,,,,,,,,,,,,,,
449,0.826912817,1.354812621,-1.904153472,1.339379678,0.767198989,-0.260515491,1,0.208683412,117,0,1,52,65,277,0.094717668,0.19005848,0,,,,,,,,,,,,,,,,,,,,,,,,
424,0.826912817,1.354812621,-0.135272403,0.432550428,0.767198989,-0.358280933,0,0.20728834,118,1,0,53,65,277,0.096539162,0.19005848,0.00034619,,,,,,,,,,,,,,,,,,,,,,,,
99,-0.369157507,1.354812621,0.326174833,-0.474278822,0.767198989,-0.185219821,1,0.20531361,119,0,1,53,66,276,0.096539162,0.192982456,0,,,,,,,,,,,,,,,,,,,,,,,,
549,0.826912817,-0.737281045,0.24926696,0.432550428,0.767198989,-0.235025199,0,0.205244307,120,1,0,54,66,276,0.098360656,0.192982456,0.000351516,,,,,,,,,,,,,,,,,,,,,,,,
306,-1.565227831,-0.737281045,-2.217937592,0.432550428,2.007805702,2.401641332,1,0.203328741,121,0,1,54,67,275,0.098360656,0.195906433,0,,,,,,,,,,,,,,,,,,,,,,,,
854,-1.565227831,1.354812621,-1.058166874,-0.474278822,0.767198989,0.144803694,1,0.200002297,122,0,1,54,68,274,0.098360656,0.198830409,0,,,,,,,,,,,,,,,,,,,,,,,,
189,0.826912817,-0.737281045,0.787622069,0.432550428,0.767198989,-0.33614521,0,0.193879501,123,1,0,55,68,274,0.100182149,0.198830409,0.000362168,,,,,,,,,,,,,,,,,,,,,,,,
273,-0.369157507,1.354812621,0.864529941,-0.474278822,0.767198989,-0.255651669,1,0.189590727,124,0,1,55,69,273,0.100182149,0.201754386,0,,,,,,,,,,,,,,,,,,,,,,,,
658,0.826912817,1.354812621,0.172359088,0.432550428,0.767198989,-0.33614521,0,0.189444794,125,1,0,56,69,273,0.102003643,0.201754386,0.000367494,,,,,,,,,,,,,,,,,,,,,,,,
146,-0.369157507,-0.737281045,-0.827443256,0.432550428,0.767198989,0.091476724,0,0.185733087,126,1,0,57,69,273,0.103825137,0.201754386,0.000367494,,,,,,,,,,,,,,,,,,,,,,,,
72,0.826912817,1.354812621,-1.058166874,4.059867429,2.007805702,0.295729082,0,0.185342696,127,1,0,58,69,273,0.10564663,0.201754386,0.000367494,,,,,,,,,,,,,,,,,,,,,,,,
274,-1.565227831,-0.737281045,0.556898451,-0.474278822,0.767198989,-0.050393141,0,0.184382181,128,1,0,59,69,273,0.107468124,0.201754386,0.000367494,,,,,,,,,,,,,,,,,,,,,,,,
596,0.826912817,-0.737281045,0.479990578,0.432550428,0.767198989,-0.162077929,0,0.183859933,129,1,0,60,69,273,0.109289617,0.201754386,0.000367494,,,,,,,,,,,,,,,,,,,,,,,,
8,0.826912817,-0.737281045,-2.13487709,2.246208929,0.767198989,-0.223957338,0,0.179105295,130,1,0,61,69,273,0.111111111,0.201754386,0.000367494,,,,,,,,,,,,,,,,,,,,,,,,
329,0.826912817,1.354812621,0.095451215,0.432550428,0.767198989,-0.235025199,1,0.178759578,131,0,1,61,70,272,0.111111111,0.204678363,0,,,,,,,,,,,,,,,,,,,,,,,,
129,0.826912817,1.354812621,0.018543343,0.432550428,0.767198989,-0.198132998,1,0.177195459,132,0,1,61,71,271,0.111111111,0.207602339,0,,,,,,,,,,,,,,,,,,,,,,,,
184,-0.369157507,-0.737281045,-2.211784963,1.339379678,0.767198989,0.13675434,1,0.176207023,133,0,1,61,72,270,0.111111111,0.210526316,0,,,,,,,,,,,,,,,,,,,,,,,,
530,-0.369157507,-0.737281045,-0.519811766,1.339379678,0.767198989,-0.41663875,0,0.17394521,134,1,0,62,72,270,0.112932605,0.210526316,0.000383472,,,,,,,,,,,,,,,,,,,,,,,,
660,-1.565227831,-0.737281045,2.171963775,-0.474278822,2.007805702,1.631418767,0,0.172186291,135,1,0,63,72,270,0.114754098,0.210526316,0.000383472,,,,,,,,,,,,,,,,,,,,,,,,
